Fecha,Nombre,Valor Unitario,Unidades,Total
2024-11-14 22:45:23.037880,Tradicional Agua Mora 12 Oz,14964.0,1,23962.0
2024-11-14 22:45:23.037880,Embera 22 Oz,8915.0,3,30136.0
2024-11-14 22:45:23.037880,Copoazu 12 Oz,13867.0,1,22970.0
2024-11-14 22:45:23.037880,Tradicional Leche Mora 16 Oz,11322.0,1,18521.0
2024-11-14 22:45:23.037880,Arandanos Deshidratados Tosh,14016.0,1,21970.0
2024-11-14 22:45:23.037880,Frutos Rojos Yogurt 22 Oz,10629.0,1,16661.0
2024-11-14 22:45:23.037880,Kamsa 22 Oz,5747.0,3,17843.0
2024-11-14 22:45:23.037880,Paez 12 Oz,8258.0,1,13849.0
2024-11-14 22:45:23.037880,Parfait Yagua 16 Oz,9184.0,3,30054.0
2024-11-14 22:45:23.037880,BARRA DE CEREAL TOSH,14394.0,1,23789.0
2024-11-14 22:45:23.037880,Malteada Fresa+ Limón 16 Oz,4585.0,7,35456.0
2024-11-14 22:45:23.037880,Cafe con leche 9onz,8892.0,1,15055.0
2024-11-14 22:45:23.037880,Guarana 22 Oz,8575.0,3,28673.0
2024-11-14 22:45:23.037880,Camu Camu 12 Oz,9075.0,1,14304.0
2024-11-14 22:45:23.037880,Parfait Nativo 12 Oz,8463.0,1,13300.0
2024-11-14 22:45:23.037880,Cafe Frio 16 Oz,5693.0,4,26844.0
2024-11-14 22:45:23.037880,Katio En Helado 16 Oz,3863.0,1,6144.0
2024-11-14 22:45:23.037880,Banco Paez En Helado 22 Oz,9374.0,1,15228.0
2024-11-14 22:45:23.037880,Parfait Bora 16 Oz,10035.0,3,32315.0
2024-11-14 22:45:23.037880,Tradicional Leche Mango 22 Oz,14363.0,1,22814.0
2024-11-14 22:45:23.037880,GALLETA TOSH,4267.0,1,6989.0
2024-11-14 22:45:23.037880,Achiras,7658.0,1,11984.0
2024-11-14 22:45:23.037880,Tradicional Leche Fresa 22 Oz,7426.0,1,11796.0
2024-11-14 22:45:23.037880,Tribu 12 Oz,10892.0,1,17426.0
2024-11-14 22:45:23.037880,Tradicional Leche Mora 22 Oz,4685.0,1,7561.0
2024-11-14 22:45:23.037880,Chicharrones Queso,13233.0,1,22027.0
2024-11-14 22:45:23.037880,Caju 16 Oz,3206.0,1,5047.0
2024-11-14 22:45:23.037880,Lulada 22 Oz,12762.0,1,20710.0
2024-11-14 22:45:23.037880,Colageno 12 Oz,9075.0,1,14836.0
2024-11-14 22:45:23.037880,Copo De Frutos Rojos 12 Oz,10392.0,1,16114.0
2024-11-14 22:45:23.037880,Kubeo Helado 16 Oz,11006.0,3,36038.0
2024-11-14 22:45:23.037880,Araza 12 Oz,6385.0,1,10022.0
2024-11-15 22:45:23.037880,Araza 12 Oz,6385.0,3,22795.0
2024-11-15 22:45:23.037880,Malteada Fresa+ Limón 22 Oz,6943.0,1,13340.0
2024-11-15 22:45:23.037880,Frutos Rojos En Helado 12 Oz,3161.0,9,30408.0
2024-11-15 22:45:23.037880,Tradicional Leche Mora 16 Oz,11322.0,1,21508.0
2024-11-15 22:45:23.037880,Parfait Bora 12 Oz,10721.0,3,39067.0
2024-11-15 22:45:23.037880,BARRA DE CEREAL TOSH,14394.0,3,51532.0
2024-11-15 22:45:23.037880,Chicharrones Queso,13233.0,1,24886.0
2024-11-15 22:45:23.037880,Frutos Rojos Yogurt 16 Oz,14534.0,1,26784.0
2024-11-15 22:45:23.037880,Corozo 12 Oz,5433.0,1,9745.0
2024-11-15 22:45:23.037880,Camu Camu 12 Oz,9075.0,5,50405.0
2024-11-15 22:45:23.037880,Parfait Cacique 16 Oz,5695.0,7,40554.0
2024-11-15 22:45:23.037880,Galletas Con Chips De Chocolate,13627.0,1,26100.0
2024-11-15 22:45:23.037880,Copo Chia Mango + Kiwi 12 Oz,4306.0,7,31259.0
2024-11-15 22:45:23.037880,Kubeo Helado 12 Oz,3064.0,1,5752.0
2024-11-15 22:45:23.037880,Torta Oreo,4873.0,1,8885.0
2024-11-15 22:45:23.037880,Katio En Helado 16 Oz,3863.0,1,7168.0
2024-11-15 22:45:23.037880,Cocadas,13748.0,1,25562.0
2024-11-15 22:45:23.037880,Colageno 22 Oz,13109.0,5,70925.0
2024-11-15 22:45:23.037880,Porción Brownie,10041.0,3,38650.0
2024-11-15 22:45:23.037880,Capuchino 9 Oz,3878.0,3,14695.0
2024-11-15 22:45:23.037880,Energia 16 Oz,7413.0,5,42698.0
2024-11-15 22:45:23.037880,Kamsa 12 Oz,10849.0,3,41509.0
2024-11-15 22:45:23.037880,Embera 12 Oz,14506.0,3,54172.0
2024-11-15 22:45:23.037880,Chicharrones Jalapeños,13253.0,1,25409.0
2024-11-15 22:45:23.037880,Avena 12 Oz,4663.0,3,16680.0
2024-11-15 22:45:23.037880,Tradicional Agua Mora 16 Oz,14284.0,1,25786.0
2024-11-15 22:45:23.037880,Parfait Nativo 12 Oz,8463.0,1,15080.0
